sequence_id,display_type,content,nextAction,nextChunk,learning_path,sequence,module
0,module_title,"Being In-Sync: Communication and Time",getNextChunk,0.1,"Workplace Success","Cultural Intelligence","Being In-Sync"
0.1,module_description,"This final CQ module explores how cultures coordinate action through two critical dimensions. Part 1 - Communication: You'll learn about Hall's high-context versus low-context communication and space concepts. Part 2 - Time: You'll explore monochronic versus polychronic time orientations. By the end, you'll understand why your 'perfectly clear' email confuses some colleagues, why 'urgent' means different things to different people, and how to synchronize action across these fundamental differences.",getNextChunk,1,"Workplace Success","Cultural Intelligence","Being In-Sync"
1,system,"Two scenarios to start:",getNextChunk,2,"Workplace Success","Cultural Intelligence","Being In-Sync"
2,system,"Scenario 1: You send an email: 'Please handle the Johnson account situation.' Your American colleague asks for clarification. Your Chinese colleague immediately takes action. Your Spanish colleague calls to discuss. Three responses to the same 'clear' message.",getNextChunk,3,"Workplace Success","Cultural Intelligence","Being In-Sync"
3,system,"Scenario 2: The meeting is at 2:00 PM. Your German colleague arrives at 1:55. Your Brazilian colleague arrives at 2:20. Your Indian colleague is on the phone with another client at 2:00 but joins at 2:10. Everyone thinks they're being professional.",getNextChunk,4,"Workplace Success","Cultural Intelligence","Being In-Sync"
4,aporia-system,"Which scenario would drive you more crazy?",getNextChunk,4.1|4.2|4.3,"Workplace Success","Cultural Intelligence","Being In-Sync"
4.1,aporia-user,"The communication confusion—just be clear!",getNextChunk,4.1.1,"Workplace Success","Cultural Intelligence","Being In-Sync"
4.2,aporia-user,"The time chaos—punctuality is basic respect!",getNextChunk,4.2.1,"Workplace Success","Cultural Intelligence","Being In-Sync"
4.3,aporia-user,"Both equally—how does anything get done?",getNextChunk,4.3.1,"Workplace Success","Cultural Intelligence","Being In-Sync"
4.1.1,system,"You're probably from a low-context culture where explicit communication is valued! But here's the thing—your Chinese colleague understood perfectly because they read context you didn't even know you were sending. To them, YOU'RE the one making things complicated by needing everything spelled out.",getNextChunk,5,"Workplace Success","Cultural Intelligence","Being In-Sync"
4.2.1,system,"Classic monochronic time orientation! You see time as linear, segmented, and finite. But your polychronic colleagues see time as flexible, relationships as primary, and juggling multiple priorities as efficient. To them, YOUR rigid punctuality might seem antisocial.",getNextChunk,5,"Workplace Success","Cultural Intelligence","Being In-Sync"
4.3.1,system,"Welcome to the daily reality of global teams! The miracle isn't that things go wrong—it's that anything works at all. But here's the secret: once you understand these patterns, you can design systems that work WITH cultural differences instead of against them.",getNextChunk,5,"Workplace Success","Cultural Intelligence","Being In-Sync"
5,system,"## Part 1: COMMUNICATION - Being Clear Across Cultures",getNextChunk,5.1,"Workplace Success","Cultural Intelligence","Being In-Sync"
5.1,system,"Let's start with communication clarity. Edward T. Hall's concept of high-context versus low-context communication is one of the most practical frameworks you'll ever learn.",getNextChunk,6,"Workplace Success","Cultural Intelligence","Being In-Sync"
