sequence_id,display_type,content,nextAction,nextChunk,learning_path,sequence,module
0,module_title,"Consensus Building: Persuasion, Evaluation, and Productive Disagreement",getNextChunk,0.1,"Workplace Success","Cultural Intelligence","Consensus Building"
0.1,module_description,"This module explores how different cultures argue, persuade, and reach decisions. You'll learn about Meyer's frameworks for persuading, evaluating, and disagreeing, along with Trompenaars' neutral versus affective dimensions. By the end, you'll understand why your carefully crafted logical argument might fail in one culture while passionate advocacy backfires in another—and how to build genuine consensus across these differences.",getNextChunk,1,"Workplace Success","Cultural Intelligence","Consensus Building"
1,system,"You're in a strategy meeting. The French director is passionately debating theoretical principles. The American VP keeps asking 'But will it work?' The Japanese team lead hasn't said much but seems increasingly uncomfortable. The Italian marketing head is gesturing dramatically about the customer experience.",getNextChunk,2,"Workplace Success","Cultural Intelligence","Consensus Building"
2,system,"Two hours later, everyone thinks they've agreed on a path forward. A week later, you discover everyone heard something completely different.",getNextChunk,3,"Workplace Success","Cultural Intelligence","Consensus Building"
3,aporia-system,"What went wrong?",getNextChunk,3.1|3.2|3.3|3.4,"Workplace Success","Cultural Intelligence","Consensus Building"
3.1,aporia-user,"Poor communication—the message wasn't clear",getNextChunk,3.1.1,"Workplace Success","Cultural Intelligence","Consensus Building"
3.2,aporia-user,"Different argumentation styles created false agreement",getNextChunk,3.2.1,"Workplace Success","Cultural Intelligence","Consensus Building"
3.3,aporia-user,"Cultural differences in expressing disagreement hid real conflicts",getNextChunk,3.3.1,"Workplace Success","Cultural Intelligence","Consensus Building"
3.4,aporia-user,"All of the above, interconnected",getNextChunk,3.4.1,"Workplace Success","Cultural Intelligence","Consensus Building"
3.1.1,system,"That's the surface symptom, but the root is deeper. The message might have been crystal clear—in one cultural framework. But when French principles-first thinking meets American applications-first thinking, 'clarity' itself becomes culturally relative.",getNextChunk,4,"Workplace Success","Cultural Intelligence","Consensus Building"
3.2.1,system,"Getting warmer! Different cultures don't just argue about different things—they argue in fundamentally different ways. What counts as 'convincing' varies dramatically across cultures.",getNextChunk,4,"Workplace Success","Cultural Intelligence","Consensus Building"
3.3.1,system,"Absolutely part of it! The Japanese team lead's silence might have been screaming disagreement to anyone who could read it. But in cultures where disagreement must be explicit to count, silence reads as consent.",getNextChunk,4,"Workplace Success","Cultural Intelligence","Consensus Building"
3.4.1,system,"Exactly! You've just identified the consensus-building triple challenge: we persuade differently, evaluate differently, and disagree differently. When all three collide, what looks like agreement is often just mutual misunderstanding.",getNextChunk,4,"Workplace Success","Cultural Intelligence","Consensus Building"
4,system,"Let's start with how cultures approach persuasion. Erin Meyer's research reveals two distinct styles: Principles-First versus Applications-First reasoning.",getNextChunk,5,"Workplace Success","Cultural Intelligence","Consensus Building"
5,card-carousel,"{heading: 'The Art of Persuasion Across Cultures', cards: [{title: 'Principles-First (Deductive)', content: 'France, Italy, Spain: Start with theory, derive conclusions. \"Let me explain the concept...\" Deep philosophical grounding is credibility. Practical applications come after theoretical agreement.'}, {title: 'Applications-First (Inductive)', content: 'USA, Canada, Australia: Start with examples, build to conclusions. \"Let me show you how this works...\" Practical success stories are credibility. Theory is extracted from proven practice.'}, {title: 'The Clash', content: 'Principles-First sees Applications-First as superficial, anti-intellectual. Applications-First sees Principles-First as impractical, time-wasting. Both think the other \"doesn\\'t get it.\"'}]}",getNextChunk,6,"Workplace Success","Cultural Intelligence","Consensus Building"
6,system,"Here's the twist: both styles can reach the same conclusion, just by different routes. The French will debate philosophy to design a business process. Americans will test business processes to discover philosophy. Germans will do both, thoroughly.",getNextChunk,7,"Workplace Success","Cultural Intelligence","Consensus Building"
7,system,"Real scenario: You're proposing a new customer service approach. How do you structure your argument?",getNextChunk,8,"Workplace Success","Cultural Intelligence","Consensus Building"
8,card-carousel,"{heading: 'Same Proposal, Different Persuasion Paths', cards: [{title: 'For Principles-First Audience', content: '\"Customer service is fundamentally about human dignity and respect. From this principle, we derive three operational pillars...\" Build from philosophy to practice.'}, {title: 'For Applications-First Audience', content: '\"Amazon reduced customer complaints by 40% using this method. Here\\'s how we can adapt it...\" Build from examples to principles.'}, {title: 'For Mixed Audience', content: 'Start with a compelling example, quickly extract the principle, then show how the principle generates more applications. Weave both styles throughout.'}]}",getNextChunk,9,"Workplace Success","Cultural Intelligence","Consensus Building"
9,system,"But persuasion is only step one. Next comes evaluation—how cultures give and interpret feedback. This is where Trompenaars' Neutral versus Affective dimension becomes crucial.",getNextChunk,10,"Workplace Success","Cultural Intelligence","Consensus Building"
10,card-carousel,"{heading: 'Emotional Expression in Professional Settings', cards: [{title: 'Neutral Cultures', content: 'Japan, UK, Netherlands: Emotions are controlled. Professional means calm. Passion can signal lack of objectivity. Trust the quiet, measured response.'}, {title: 'Affective Cultures', content: 'Italy, Spain, Brazil: Emotions show engagement. Professional includes passion. Lack of emotion signals lack of commitment. Trust the animated, expressive response.'}, {title: 'The Misread', content: 'Neutral sees Affective as unprofessional, maybe untrustworthy. Affective sees Neutral as cold, maybe deceptive. Same emotion, opposite interpretations.'}]}",getNextChunk,11,"Workplace Success","Cultural Intelligence","Consensus Building"
11,aporia-system,"You present an idea. Your British colleague says it's 'interesting.' Your Brazilian colleague says it's 'amazing!' Your Japanese colleague nods thoughtfully. Who actually likes your idea?",getNextChunk,11.1|11.2|11.3|11.4,"Workplace Success","Cultural Intelligence","Consensus Building"
11.1,aporia-user,"The Brazilian—they're openly enthusiastic",getNextChunk,11.1.1,"Workplace Success","Cultural Intelligence","Consensus Building"
11.2,aporia-user,"The British—'interesting' is British for good",getNextChunk,11.2.1,"Workplace Success","Cultural Intelligence","Consensus Building"
11.3,aporia-user,"The Japanese—respectful attention means approval",getNextChunk,11.3.1,"Workplace Success","Cultural Intelligence","Consensus Building"
11.4,aporia-user,"Impossible to tell without more cultural context",getNextChunk,11.4.1,"Workplace Success","Cultural Intelligence","Consensus Building"
11.1.1,system,"Maybe! Brazilians often express enthusiasm as social lubricant—it doesn't always indicate deep commitment. 'Amazing' might mean anything from 'I love it' to 'I appreciate you sharing.' You'd need to probe deeper.",getNextChunk,12,"Workplace Success","Cultural Intelligence","Consensus Building"
11.2.1,system,"Actually, 'interesting' from a Brit could mean anything from 'brilliant' to 'completely awful.' British understatement makes positive evaluation sound neutral. You'd need to watch for subtle cues—raised eyebrows, follow-up questions.",getNextChunk,12,"Workplace Success","Cultural Intelligence","Consensus Building"
11.3.1,system,"Dangerous assumption! Japanese respectful attention is about maintaining harmony, not signaling agreement. The nod might mean 'I hear you,' not 'I agree.' Real approval might come later, privately, through a third party.",getNextChunk,12,"Workplace Success","Cultural Intelligence","Consensus Building"
11.4.1,system,"Perfect CQ answer! Without understanding each culture's evaluation style, you're flying blind. The Brazilian's enthusiasm might be courtesy, the Brit's neutrality might hide excitement, the Japanese silence might conceal strong opinions.",getNextChunk,12,"Workplace Success","Cultural Intelligence","Consensus Building"
12,system,"Now let's add Meyer's framework for how cultures evaluate performance and give feedback:",getNextChunk,13,"Workplace Success","Cultural Intelligence","Consensus Building"
13,card-carousel,"{heading: 'The Feedback Spectrum', cards: [{title: 'Direct Negative Feedback', content: 'Netherlands, Germany, Russia: Criticism is honest, helpful, and often public. \"This is wrong because...\" Sugar-coating is dishonest. Directness shows respect.'}, {title: 'Indirect Negative Feedback', content: 'Japan, Korea, Saudi Arabia: Criticism is subtle, private, often through third parties. \"Perhaps we might consider...\" Directness is aggressive. Subtlety preserves dignity.'}, {title: 'The Confusion Zone', content: 'USA is direct with positive (\"Great job!\") but indirect with negative (\"Room for improvement\"). France is direct with negative but restrained with positive. Complete opposite patterns!'}]}",getNextChunk,14,"Workplace Success","Cultural Intelligence","Consensus Building"
14,system,"This creates fascinating dynamics. An American manager might give a 'feedback sandwich' (positive-negative-positive) to a German employee, who hears only the positive and misses the criticism. A Dutch manager might give direct criticism to a Korean employee, who feels publicly humiliated and loses all motivation.",getNextChunk,15,"Workplace Success","Cultural Intelligence","Consensus Building"
15,aporia-system,"You need to tell a multicultural team that their project approach isn't working. How do you deliver this message effectively?",getNextChunk,15.1|15.2|15.3,"Workplace Success","Cultural Intelligence","Consensus Building"
15.1,aporia-user,"One-on-one conversations tailored to each culture",getNextChunk,15.1.1,"Workplace Success","Cultural Intelligence","Consensus Building"
15.2,aporia-user,"Group discussion with culturally neutral language",getNextChunk,15.2.1,"Workplace Success","Cultural Intelligence","Consensus Building"
15.3,aporia-user,"Written feedback with follow-up discussions",getNextChunk,15.3.1,"Workplace Success","Cultural Intelligence","Consensus Building"
15.1.1,system,"Time-intensive but effective! You could be direct with Germans ('The timeline is unrealistic'), indirect with Japanese ('Some aspects might benefit from reconsideration'), and balanced with Americans ('Good effort, but we need to pivot'). This respects everyone's feedback culture.",getNextChunk,16,"Workplace Success","Cultural Intelligence","Consensus Building"
