sequence_id,display_type,content,nextAction,nextChunk,learning_path,sequence,module
0,module_title,"Cultural Intelligence: Making Sense of Your Context",getNextChunk,0.1,"Workplace Success","Cultural Intelligence","CQ Introduction"
0.1,module_description,"This module introduces the concept of Cultural Intelligence (CQ) and its four key capabilities: Drive, Knowledge, Strategy, and Action. You'll learn what culture really means in workplace contexts, how to recognize cultural patterns, and why CQ is the meta-skill that makes all other workplace competencies more effective across diverse environments.",getNextChunk,1,"Workplace Success","Cultural Intelligence","CQ Introduction"
1,system,"In our last section, we mentioned how Cultural Intelligence developed as a data-driven solution to a problem in psychological research: Why do some people with high Emotional Intelligence fail to transition to working in new environments?",getNextChunk,2,"Workplace Success","Cultural Intelligence","CQ Introduction"
2,system,"In plainer terms, why might a person who's great at reading the emotions of others and working with their own in the environment they're used to be less successful at the same kinds of things when moving to a new environment?",getNextChunk,3,"Workplace Success","Cultural Intelligence","CQ Introduction"
3,system,"CQ researchers—and the data they've collected—suggest the answer to that question is Cultural Intelligence.",getNextChunk,4,"Workplace Success","Cultural Intelligence","CQ Introduction"
4,system,"But what is culture and, to put things bluntly, how could someone be smart or dumb at it?",getNextChunk,5,"Workplace Success","Cultural Intelligence","CQ Introduction"
5,system,"Let's start with the first part of that question: What is culture? We'll spend a few moments on this topic, then spend the next few modules elaborating the second, intelligence-y part of the equation.",getNextChunk,6,"Workplace Success","Cultural Intelligence","CQ Introduction"
6,aporia-system,"We'll begin with what you know already. What is culture?",getNextChunk,6.1|6.2|6.3,"Workplace Success","Cultural Intelligence","CQ Introduction"
6.1,aporia-user,"It's about different countries and their traditions—food, holidays, that sort of thing",getNextChunk,6.1.1,"Workplace Success","Cultural Intelligence","CQ Introduction"
6.2,aporia-user,"It's the shared values and behaviors of a group of people",getNextChunk,6.2.1,"Workplace Success","Cultural Intelligence","CQ Introduction"
6.3,aporia-user,"Honestly, I think 'culture' is just something HR talks about to sound important",getNextChunk,6.3.1,"Workplace Success","Cultural Intelligence","CQ Introduction"
6.1.1,system,"That's a common starting point! Food and holidays are definitely visible markers of culture. But imagine this: you join a new team at work. No one's bringing different national dishes or celebrating unique holidays, yet something feels...different. The way decisions get made, how people give feedback, even how they run meetings—it all follows unwritten rules you can't quite grasp.",getNextChunk,6.1.2,"Workplace Success","Cultural Intelligence","CQ Introduction"
6.1.2,system,"That's culture too. Let's dig deeper.",getNextChunk,7,"Workplace Success","Cultural Intelligence","CQ Introduction"
6.2.1,system,"Excellent! You're already thinking like a CQ researcher. Culture is indeed about shared patterns—but here's what makes it tricky:",getNextChunk,6.2.2,"Workplace Success","Cultural Intelligence","CQ Introduction"
6.2.2,system,"These patterns are often invisible to the people following them. Like fish who don't notice water, we swim in our cultural assumptions without realizing it.",getNextChunk,7,"Workplace Success","Cultural Intelligence","CQ Introduction"
6.3.1,system,"I hear you—and you're not alone in that skepticism. Here's a data point that might change your mind: Google's Project Aristotle spent years analyzing what makes teams successful. Their finding? The #1 factor wasn't talent or resources—it was something they called 'psychological safety,' which is fundamentally about team culture.",getNextChunk,6.3.2,"Workplace Success","Cultural Intelligence","CQ Introduction"
6.3.2,system,"Companies with strong cultural alignment see 4x better revenue growth. So yeah, culture matters—and understanding it might be the smartest career investment you'll make.",getNextChunk,7,"Workplace Success","Cultural Intelligence","CQ Introduction"
7,system,"Here's our working definition: Culture is the learned and shared patterns of beliefs, behaviors, and assumptions that guide how a group of people interpret and interact with the world.",getNextChunk,8,"Workplace Success","Cultural Intelligence","CQ Introduction"
8,system,"Notice we said 'group of people'—not 'country.' While national culture is real and important, you're surrounded by cultures all day long:",getNextChunk,9,"Workplace Success","Cultural Intelligence","CQ Introduction"
9,card-carousel,"{heading: 'Cultures in Your Daily Work Life', cards: [{title: 'Organizational Culture', content: 'Your company has its own culture. A startup might value \"move fast and break things\" while a bank prioritizes \"stability and compliance.\" Neither is wrong—they're adapted to different contexts.'}, {title: 'Team Culture', content: 'Your immediate team has micro-cultures. Maybe the engineering team values direct criticism while marketing prefers the \"compliment sandwich.\" Both aim for improvement, just differently.'}, {title: 'Professional Culture', content: 'Lawyers, doctors, developers—each profession has cultural norms. Developers might communicate primarily through code and documentation, while salespeople thrive on verbal persuasion.'}]}",getNextChunk,10,"Workplace Success","Cultural Intelligence","CQ Introduction"
10,system,"So when we talk about Cultural Intelligence, we're not just talking about working with people from different countries (though that's included). We're talking about your ability to navigate ANY cultural context effectively.",getNextChunk,11,"Workplace Success","Cultural Intelligence","CQ Introduction"
11,aporia-system,"Think about a time when you joined a new team or organization and felt like an outsider—not because people were unfriendly, but because you couldn't quite figure out the 'rules.' What made it challenging?",getNextChunk,11.1|11.2|11.3,"Workplace Success","Cultural Intelligence","CQ Introduction"
11.1,aporia-user,"People communicated differently than I was used to—too direct or too indirect",getNextChunk,11.1.1,"Workplace Success","Cultural Intelligence","CQ Introduction"
11.2,aporia-user,"The way decisions were made seemed weird—either too slow or too fast",getNextChunk,11.2.1,"Workplace Success","Cultural Intelligence","CQ Introduction"
11.3,aporia-user,"I couldn't tell what was actually valued vs. what people said was valued",getNextChunk,11.3.1,"Workplace Success","Cultural Intelligence","CQ Introduction"
11.1.1,system,"Exactly! Communication styles are one of the most visible cultural differences. What feels like 'normal professional communication' in one culture can seem rude or evasive in another. Meyer's research shows that cultures fall on a spectrum from extremely direct (Netherlands, Germany) to extremely indirect (Japan, Korea), with most somewhere in between.",getNextChunk,12,"Workplace Success","Cultural Intelligence","CQ Introduction"
11.2.1,system,"You've hit on a crucial cultural dimension! Hofstede's research on uncertainty avoidance shows that some cultures need extensive analysis before deciding (high uncertainty avoidance), while others prefer to 'figure it out as we go' (low uncertainty avoidance). Neither is inherently better—each has trade-offs.",getNextChunk,12,"Workplace Success","Cultural Intelligence","CQ Introduction"
