sequence_id,display_type,content,nextAction,nextChunk,learning_path,sequence,module
0,module_title,"Power, Hierarchy, and Relationships",getNextChunk,0.1,"Workplace Success","Cultural Intelligence","Power, Hierarchy, and Relationships"
0.1,module_description,"This module explores how different cultures view authority, decision-making, and teamwork. You'll learn about Hofstede's power distance and individualism-collectivism dimensions, Meyer's perspectives on deciding and trusting, and Livermore's cooperative-competitive framework. By the end, you'll understand why your collaborative approach might be seen as weak in one culture but essential in another—and how to adapt accordingly.",getNextChunk,1,"Workplace Success","Cultural Intelligence","Power, Hierarchy, and Relationships"
1,system,"Let's start with a scenario that might feel familiar: You've just joined a new team. In your first meeting, you notice the team lead asks for everyone's input on a decision. People nod politely, but nobody speaks up. The meeting ends with the lead making the decision anyway.",getNextChunk,2,"Workplace Success","Cultural Intelligence","Power, Hierarchy, and Relationships"
2,aporia-system,"What's your interpretation of what happened?",getNextChunk,2.1|2.2|2.3,"Workplace Success","Cultural Intelligence","Power, Hierarchy, and Relationships"
2.1,aporia-user,"The team doesn't trust the leader enough to share honest opinions",getNextChunk,2.1.1,"Workplace Success","Cultural Intelligence","Power, Hierarchy, and Relationships"
2.2,aporia-user,"The team expects the leader to make decisions—asking for input was just politeness",getNextChunk,2.2.1,"Workplace Success","Cultural Intelligence","Power, Hierarchy, and Relationships"
2.3,aporia-user,"The team members don't care about the decision",getNextChunk,2.3.1,"Workplace Success","Cultural Intelligence","Power, Hierarchy, and Relationships"
2.1.1,system,"That's one possibility, and in low power distance cultures (like Denmark or Australia), you might be right. But here's another lens: in high power distance cultures, openly disagreeing with or even advising a superior can be seen as disrespectful—even when asked.",getNextChunk,3,"Workplace Success","Cultural Intelligence","Power, Hierarchy, and Relationships"
2.2.1,system,"Bingo! You're already thinking culturally. In many hierarchical cultures, the ritual of 'asking for input' serves a different purpose than actually gathering opinions. It might be about showing respect for the team or following corporate protocol from headquarters.",getNextChunk,3,"Workplace Success","Cultural Intelligence","Power, Hierarchy, and Relationships"
2.3.1,system,"Unlikely—but your observation points to something important. What looks like disengagement might actually be deep cultural conditioning about appropriate behavior. In some cultures, junior members showing too much enthusiasm or opinion can be seen as presumptuous.",getNextChunk,3,"Workplace Success","Cultural Intelligence","Power, Hierarchy, and Relationships"
3,system,"This scenario illustrates one of the most fundamental cultural dimensions: Power Distance. Coined by Geert Hofstede, it describes how cultures view inequality and hierarchy.",getNextChunk,4,"Workplace Success","Cultural Intelligence","Power, Hierarchy, and Relationships"
4,card-carousel,"{heading: 'Understanding Power Distance', cards: [{title: 'High Power Distance', content: 'Cultures like Malaysia, Mexico, and India tend to accept unequal power distribution as natural. Hierarchy is respected, titles matter, and leaders are expected to lead decisively. Questioning authority openly is often seen as disrespectful.'}, {title: 'Low Power Distance', content: 'Cultures like Denmark, New Zealand, and Israel strive to minimize inequality. Hierarchy is functional but not revered, anyone can challenge ideas regardless of rank, and leaders are expected to consult and build consensus.'}, {title: 'The Practical Impact', content: 'In high PD cultures, \"empowerment\" might mean clear directions from above. In low PD cultures, it means genuine autonomy. Same word, completely different expectations.'}]}",getNextChunk,5,"Workplace Success","Cultural Intelligence","Power, Hierarchy, and Relationships"
5,system,"But here's where it gets interesting: power distance doesn't exist in isolation. It intersects with how cultures think about decision-making. Erin Meyer's research on 'Deciding' reveals another layer:",getNextChunk,6,"Workplace Success","Cultural Intelligence","Power, Hierarchy, and Relationships"
6,system,"Some cultures are consensual (everyone needs to agree before moving forward—think Japan or Sweden), while others are top-down (the boss decides—think China or Russia). But—and this is crucial—these don't always align with power distance the way you'd expect.",getNextChunk,7,"Workplace Success","Cultural Intelligence","Power, Hierarchy, and Relationships"
7,system,"Japan has high power distance but consensual decision-making. The U.S. has relatively low power distance but often practices top-down decision-making. Germany has low power distance AND consensual decision-making. Nigeria has high power distance AND top-down decisions.",getNextChunk,8,"Workplace Success","Cultural Intelligence","Power, Hierarchy, and Relationships"
8,aporia-system,"Your American colleague says, 'Let's be democratic about this decision.' Your Japanese colleague agrees. Three weeks later, the American is frustrated that no decision has been made, while the Japanese colleague is frustrated that the American keeps trying to rush the consensus-building process. What's happening here?",getNextChunk,8.1|8.2|8.3,"Workplace Success","Cultural Intelligence","Power, Hierarchy, and Relationships"
8.1,aporia-user,"They have different definitions of 'democratic'",getNextChunk,8.1.1,"Workplace Success","Cultural Intelligence","Power, Hierarchy, and Relationships"
