sequence_id,display_type,content,nextAction,nextChunk,learning_path,sequence,module
0,module_title,"Workplace Success Learning Path",getNextChunk,0.1,"Workplace Success","Introduction","Introduction to Workplace Success"
0.1,module_description,"This module introduces users to the Workplace Success Learning path, giving a brief overview of the core concepts necessary to succeed in their work environment. These core concepts are cultural intelligence (the ability to function effectively in culturally-diverse environments), emotional intelligence (the ability to recognize emotions in others and manage them in ourselves), and communication (the mutual sharing and receiving of meaning we use to understand one another and get things done), which we will cover in that order.",getNextChunk,1,"Workplace Success","Introduction","Introduction to Workplace Success"
1,system,"Welcome to Mookti's Workplace Learning Path! 😊",getNextChunk,2,"Workplace Success","Introduction","Introduction to Workplace Success"
2,system,"Our goal here is to teach you the concepts and skills you need to thrive in any work context from day 1. (Or if you've been there for awhile and feel like you're stuck or struggling, to help you turn things around.)",getNextChunk,3,"Workplace Success","Introduction","Introduction to Workplace Success"
3,system,"Whether you're in the private sector or government, at a non-profit or in finance, there are research-backed practices we can help you put in place to help you stand out and—if it's what you're going for—lead your organization to achieve its goals.",getNextChunk,4,"Workplace Success","Introduction","Introduction to Workplace Success"
4,system,"Our experts—a team with Ivy League Ph.D.'s and years of industry experience—have carefully combed through thousands of pages of research across many fields—ranging from academic disciplines like psychology and sociology to applied fields like communications and organizational management—to distill a set of practices that translate to success, no matter the context.",getNextChunk,5,"Workplace Success","Introduction","Introduction to Workplace Success"
5,system,"What's at the heart of the practices we'll teach you? Data-backed methods and means for implementing strategies to get you further, all driven by a process of continuous self-reflection and self-improvement.",getNextChunk,6,"Workplace Success","Introduction","Introduction to Workplace Success"
6,aporia-system,"Throughout this learning path, you'll learn not only how to succeed, but why our methods work. Can you guess why something like self-reflection and the processes we've built around it might help you fit in and thrive on a new team?",getNextChunk,6.1|6.2|6.3,"Workplace Success","Introduction","Introduction to Workplace Success"
6.1,aporia-user,"The data says it works",getNextChunk,6.1.1,"Workplace Success","Introduction","Introduction to Workplace Success"
6.2,aporia-user,"I think I heard about that on TikTok",getNextChunk,6.2.1,"Workplace Success","Introduction","Introduction to Workplace Success"
6.3,aporia-user,"Actually I don't need to do self-reflection or anything else—I'm literally a genius",getNextChunk,6.3.1,"Workplace Success","Introduction","Introduction to Workplace Success"
6.1.1,system,"That's true! It is a research-backed practice, but there's something deeper going on as well.",getNextChunk,7,"Workplace Success","Introduction","Introduction to Workplace Success"
6.2.1,system,"Sounds like your feed is much more data-driven than our experts'—we just get a lot of AI frogs dancing.",getNextChunk,6.2.2,"Workplace Success","Introduction","Introduction to Workplace Success"
6.2.2,system,"But TikTok is right in this case! And here's why:",getNextChunk,7,"Workplace Success","Introduction","Introduction to Workplace Success"
6.3.1,system,"Woah. Legally, we can't give you mental health advice, but you might want to check in on that attitude with a therapist or trusted mentor.",getNextChunk,6.3.2,"Workplace Success","Introduction","Introduction to Workplace Success"
6.3.2,system,"In the meantime, we can tell you the secret behind our learning path's methodology.",getNextChunk,7,"Workplace Success","Introduction","Introduction to Workplace Success"
7,system,"This learning path—and Mookti as a whole, really—are built on the assumption that you know yourself and your environment best, so that you're the one in the best position to design and implement effective strategies to achieve your goals. There's no 'one size fits all' we can give you to nail any job. But we can give you tools that will empower you to achieve any goal you set for yourself.",getNextChunk,8,"Workplace Success","Introduction","Introduction to Workplace Success"
8,system,"The research does back this up! But like college itself, our platform is designed for you to leave us behind.",getNextChunk,9,"Workplace Success","Introduction","Introduction to Workplace Success"
9,system,"You'll come here to learn what you need to and then—once you've mastered what we have to teach—you'll fly off on your own.",getNextChunk,10,"Workplace Success","Introduction","Introduction to Workplace Success"
10,system,"(But unlike your college, we won't spend the rest of your life asking you to donate to an institution you've already paid for.)",getNextChunk,11,"Workplace Success","Introduction","Introduction to Workplace Success"
11,system,"We'll get to an overview of and advice for implementing our recommended strategies in a moment, but first let's talk a little bit more about the core concepts that shape the approach we'll take.",getNextChunk,12,"Workplace Success","Introduction","Introduction to Workplace Success"
12,system,"We can break things down into three main buckets:",getNextCardCarousel,13,"Workplace Success","Introduction","Introduction to Workplace Success"
